EntryDate,EntryTime,EntryPrice,Type,ExitDate,ExitTime,ExitPrice,Symbol,Pnl
07-03-2017,09:30:00,60,Sell,07-03-2017,15:15:00,51.5,20800CE,212.5
07-03-2017,09:30:00,44,Sell,07-03-2017,15:15:00,38.8,20500PE,130
07-03-2017,09:33:00,83.95,Buy,07-03-2017,13:56:00,67.15,20600PE,-420
08-03-2017,09:30:00,52.7,Sell,08-03-2017,15:15:00,34.9,20800CE,445
08-03-2017,09:30:00,48.45,Sell,08-03-2017,11:03:00,63,20600PE,-363.75
08-03-2017,10:59:00,95.85,Buy,08-03-2017,13:15:00,115.1,20700PE,481.25
08-03-2017,13:19:00,48.45,Sell,08-03-2017,15:15:00,35.55,20600PE,322.5
09-03-2017,09:30:00,44.3,Sell,09-03-2017,09:56:00,57.6,20700CE,-332.5
09-03-2017,09:30:00,38.8,Sell,09-03-2017,15:15:00,0.05,20600PE,968.75
09-03-2017,09:36:00,107.3,Buy,09-03-2017,12:20:00,96.6,20600CE,-267.5
09-03-2017,12:18:00,44.3,Sell,09-03-2017,14:18:00,57.6,20700CE,-332.5
10-03-2017,09:30:00,48.1,Sell,10-03-2017,15:15:00,35.15,21400CE,323.75
10-03-2017,09:30:00,50.4,Sell,10-03-2017,11:37:00,65.5,20300PE,-377.5
10-03-2017,09:40:00,78.95,Buy,10-03-2017,15:15:00,89,20400PE,251.25
14-03-2017,09:30:00,51.6,Sell,14-03-2017,15:15:00,35.95,21300CE,391.25
14-03-2017,09:30:00,59.45,Sell,14-03-2017,15:15:00,38.6,20900PE,521.25
14-03-2017,09:34:00,90.45,Buy,14-03-2017,14:26:00,72.35,21200CE,-452.5
15-03-2017,09:30:00,51.3,Sell,15-03-2017,09:51:00,66.7,21200CE,-385
15-03-2017,09:30:00,52.6,Sell,15-03-2017,15:15:00,28.75,21000PE,596.25
15-03-2017,09:49:00,108.05,Buy,15-03-2017,15:15:00,125.45,21100CE,435
16-03-2017,09:30:00,42.6,Sell,16-03-2017,15:15:00,0.15,21300CE,1061.25
16-03-2017,09:30:00,26.75,Sell,16-03-2017,09:48:00,34.8,21200PE,-201.25
16-03-2017,09:38:00,75.3,Buy,16-03-2017,10:04:00,67.8,21300PE,-187.5
16-03-2017,10:01:00,26.75,Sell,16-03-2017,11:13:00,34.8,21200PE,-201.25
17-03-2017,09:30:00,49.8,Sell,17-03-2017,15:15:00,29.5,21500CE,507.5
17-03-2017,09:30:00,46.8,Sell,17-03-2017,10:46:00,60.85,21000PE,-351.25
17-03-2017,10:12:00,85.45,Buy,17-03-2017,15:06:00,76.9,21100PE,-213.75
20-03-2017,09:30:00,43.3,Sell,20-03-2017,15:15:00,40.2,21300CE,77.5
20-03-2017,09:30:00,38,Sell,20-03-2017,15:15:00,22.5,20900PE,387.5
21-03-2017,09:30:00,56,Sell,21-03-2017,15:15:00,29.3,21200CE,667.5
21-03-2017,09:30:00,34.1,Sell,21-03-2017,10:32:00,44.35,21000PE,-256.25
21-03-2017,10:30:00,75.05,Buy,21-03-2017,15:15:00,103.05,21100PE,700
22-03-2017,09:30:00,26.8,Sell,22-03-2017,15:15:00,9.3,21000CE,437.5
22-03-2017,09:30:00,38.2,Sell,22-03-2017,10:09:00,49.65,20800PE,-286.25
22-03-2017,13:01:00,70.95,Buy,22-03-2017,13:43:00,56.75,20900CE,-355
22-03-2017,10:04:00,84.65,Buy,22-03-2017,12:45:00,67.7,20900PE,-423.75
22-03-2017,10:24:00,38.2,Sell,22-03-2017,14:39:00,49.65,20800PE,-286.25
23-03-2017,09:30:00,19.6,Sell,23-03-2017,10:57:00,25.5,20900CE,-147.5
23-03-2017,09:30:00,28.25,Sell,23-03-2017,09:57:00,36.7,20800PE,-211.25
23-03-2017,15:04:00,71.55,Buy,23-03-2017,15:15:00,91.95,20800CE,510
23-03-2017,09:49:00,88.7,Buy,23-03-2017,10:50:00,79.8,20900PE,-222.5
23-03-2017,10:48:00,28.25,Sell,23-03-2017,12:55:00,36.7,20800PE,-211.25
23-03-2017,10:58:00,19.6,Sell,23-03-2017,15:15:00,2.65,20900CE,423.75
24-03-2017,09:30:00,52.75,Sell,24-03-2017,09:32:00,68.6,21200CE,-396.25
24-03-2017,09:30:00,48.35,Sell,24-03-2017,15:15:00,31.15,20800PE,430
24-03-2017,09:31:00,100.75,Buy,24-03-2017,15:15:00,153.4,21100CE,1316.25
27-03-2017,09:30:00,52.95,Sell,27-03-2017,15:15:00,40.85,21300CE,302.5
27-03-2017,09:30:00,45,Sell,27-03-2017,09:57:00,58.5,20900PE,-337.5
27-03-2017,09:42:00,101.75,Buy,27-03-2017,09:54:00,81.4,21200CE,-508.75
27-03-2017,09:54:00,83.05,Buy,27-03-2017,14:01:00,83.05,21000PE,0
27-03-2017,14:12:00,45,Sell,27-03-2017,15:15:00,47.15,20900PE,-53.75
28-03-2017,09:30:00,48.65,Sell,28-03-2017,12:37:00,63.25,21300CE,-365
28-03-2017,09:30:00,41.2,Sell,28-03-2017,15:15:00,27.85,21000PE,333.75
28-03-2017,10:30:00,100.5,Buy,28-03-2017,13:41:00,90.45,21200CE,-251.25
28-03-2017,09:34:00,78.75,Buy,28-03-2017,09:47:00,63,21100PE,-393.75
28-03-2017,13:41:00,48.65,Sell,28-03-2017,14:10:00,63.25,21300CE,-365
29-03-2017,09:30:00,29,Sell,29-03-2017,11:10:00,37.7,21400CE,-217.5
29-03-2017,09:30:00,50.45,Sell,29-03-2017,15:15:00,16.4,21200PE,851.25
29-03-2017,10:00:00,76.95,Buy,29-03-2017,15:15:00,123.85,21300CE,1172.5
30-03-2017,09:30:00,22.5,Sell,30-03-2017,09:37:00,29.25,21500CE,-168.75
30-03-2017,09:30:00,31.85,Sell,30-03-2017,15:15:00,0.3,21400PE,788.75
30-03-2017,09:36:00,78.05,Buy,30-03-2017,12:26:00,70.25,21400CE,-195
30-03-2017,12:26:00,22.5,Sell,30-03-2017,13:17:00,29.25,21500CE,-168.75
31-03-2017,09:30:00,42.55,Sell,31-03-2017,09:39:00,55.3,21800CE,-318.75
31-03-2017,09:30:00,48.75,Sell,31-03-2017,15:15:00,51.65,21200PE,-72.5
31-03-2017,09:37:00,77.05,Buy,31-03-2017,14:57:00,61.65,21700CE,-385
31-03-2017,10:19:00,42.55,Sell,31-03-2017,15:15:00,37.25,21800CE,132.5
03-04-2017,09:30:00,45,Sell,03-04-2017,15:15:00,40.5,21700CE,112.5
03-04-2017,09:30:00,39,Sell,03-04-2017,09:47:00,50.7,21200PE,-292.5
03-04-2017,09:46:00,106.55,Buy,03-04-2017,12:02:00,85.25,21400PE,-532.5
03-04-2017,10:02:00,39,Sell,03-04-2017,15:15:00,15.65,21200PE,583.75
05-04-2017,09:30:00,54.65,Sell,05-04-2017,11:08:00,71.05,21600CE,-410
05-04-2017,09:30:00,42,Sell,05-04-2017,15:15:00,9,21400PE,825
05-04-2017,11:01:00,117.55,Buy,05-04-2017,15:15:00,184.25,21500CE,1667.5
06-04-2017,09:30:00,53.75,Sell,06-04-2017,10:05:00,69.9,21600CE,-403.75
06-04-2017,09:30:00,31.5,Sell,06-04-2017,12:37:00,40.95,21500PE,-236.25
06-04-2017,09:50:00,61.8,Buy,06-04-2017,12:37:00,49.45,21600CE,-308.75
06-04-2017,10:37:00,77.5,Buy,06-04-2017,12:13:00,62,21600PE,-387.5
