,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
548,25-06-2020 12:16,25-06-2020 13:38,BANKNIFTY25JUN2021300CE,107,200.2,25,-1,-2330,stoploss hit
549,25-06-2020 11:53,25-06-2020 13:49,BANKNIFTY25JUN2021400CE,121.35,220,25,-1,-2466.25,stoploss hit
550,25-06-2020 09:37,25-06-2020 13:53,BANKNIFTY25JUN2021100PE,178.85,13.15,25,-1,4142.5,maxposition hit
551,25-06-2020 09:50,25-06-2020 15:20,BANKNIFTY25JUN2019900PE,2.9,0.05,25,1,-71.25,expiry over
552,25-06-2020 09:50,25-06-2020 15:20,BANKNIFTY25JUN2021200PE,172.35,0.15,25,-1,4305,expiry over
553,25-06-2020 10:28,25-06-2020 15:20,BANKNIFTY25JUN2019800PE,2.7,0.05,25,1,-66.25,expiry over
554,25-06-2020 10:28,25-06-2020 15:20,BANKNIFTY25JUN2021300PE,167.3,0.2,25,-1,4177.5,expiry over
555,25-06-2020 10:35,25-06-2020 15:20,BANKNIFTY25JUN2019900PE,2.55,0.05,25,1,-62.5,expiry over
556,25-06-2020 10:44,25-06-2020 15:20,BANKNIFTY25JUN2021500CE,139.4,3.8,25,-1,3390,expiry over
557,25-06-2020 12:16,25-06-2020 15:20,BANKNIFTY25JUN2022500CE,2.6,0.1,25,1,-62.5,expiry over
558,25-06-2020 12:47,25-06-2020 15:20,BANKNIFTY25JUN2022300CE,2.8,0.15,25,1,-66.25,expiry over
559,25-06-2020 13:41,25-06-2020 15:20,BANKNIFTY25JUN2021400PE,93.45,0.35,25,-1,2327.5,expiry over
560,25-06-2020 13:47,25-06-2020 15:20,BANKNIFTY25JUN2021500PE,98.7,7.15,25,-1,2288.75,expiry over
561,25-06-2020 13:53,25-06-2020 15:20,BANKNIFTY25JUN2021600PE,101.25,103.4,25,-1,-53.75,expiry over
562,02-07-2020 09:38,02-07-2020 10:20,BANKNIFTY02JUL2022200PE,125.1,230.15,25,-1,-2626.25,stoploss hit
563,02-07-2020 11:11,02-07-2020 13:55,BANKNIFTY02JUL2022000CE,133.45,243.85,25,-1,-2760,stoploss hit
