,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
208,2019-09-26 10:21:00,2019-09-26 10:50:00,BANKNIFTY26SEP1930200PE,88.6,166.4,25,-1,-1945.0000000000002,stoploss hit
209,2019-09-26 10:18:00,2019-09-26 10:51:00,BANKNIFTY26SEP1930100PE,80.75,149.1,25,-1,-1708.7499999999998,stoploss hit
210,2019-09-26 10:55:00,2019-09-26 12:08:00,BANKNIFTY26SEP1930200PE,140.95,269.0,25,-1,-3201.2500000000005,stoploss hit
211,2019-09-26 11:30:00,2019-09-26 12:08:00,BANKNIFTY26SEP1930300PE,140.35,338.3,25,-1,-4948.75,stoploss hit
212,2019-09-26 10:51:00,2019-09-26 12:14:00,BANKNIFTY26SEP1930100PE,149.1,271.2,25,-1,-3052.5,stoploss hit
213,2019-09-26 10:01:00,2019-09-26 15:20:00,BANKNIFTY26SEP1929100PE,2.6,0.1,25,1,-62.5,expiry over
214,2019-09-26 10:18:00,2019-09-26 15:20:00,BANKNIFTY26SEP1929200PE,2.9,0.1,25,1,-70.0,expiry over
215,2019-09-26 10:21:00,2019-09-26 15:20:00,BANKNIFTY26SEP1929300PE,3.05,0.05,25,1,-75.0,expiry over
216,2019-09-26 10:49:00,2019-09-26 15:20:00,BANKNIFTY26SEP1930300CE,185.9,0.15,25,-1,4643.75,expiry over
217,2019-09-26 12:03:00,2019-09-26 15:20:00,BANKNIFTY26SEP1930200CE,150.0,0.25,25,-1,3743.75,expiry over
218,2019-09-26 12:08:00,2019-09-26 15:20:00,BANKNIFTY26SEP1931500CE,2.7,0.05,25,1,-66.25000000000001,expiry over
219,2019-09-26 12:08:00,2019-09-26 15:20:00,BANKNIFTY26SEP1930100CE,151.25,0.35,25,-1,3772.5,expiry over
220,2019-09-26 12:14:00,2019-09-26 15:20:00,BANKNIFTY26SEP1931400CE,3.2,0.05,25,1,-78.75000000000001,expiry over
221,2019-09-26 12:14:00,2019-09-26 15:20:00,BANKNIFTY26SEP1930000CE,136.85,1.85,25,-1,3375.0,expiry over
222,2019-10-03 09:36:00,2019-10-03 09:49:00,BANKNIFTY03OCT1928500CE,207.0,381.9,25,-1,-4372.499999999999,stoploss hit
223,2019-10-03 09:31:00,2019-10-03 15:20:00,BANKNIFTY03OCT1928500PE,202.4,80.45,25,-1,3048.75,expiry over
224,2019-10-03 09:47:00,2019-10-03 15:20:00,BANKNIFTY03OCT1928600PE,209.2,179.75,25,-1,736.2499999999998,expiry over
225,2019-10-03 10:11:00,2019-10-03 15:20:00,BANKNIFTY03OCT1928500CE,205.85,0.2,25,-1,5141.25,expiry over
226,2019-10-03 13:25:00,2019-10-03 15:20:00,BANKNIFTY03OCT1928400CE,86.1,20.55,25,-1,1638.75,expiry over
227,2019-10-10 13:10:00,2019-10-10 13:21:00,BANKNIFTY10OCT1928100CE,66.8,136.4,25,-1,-1740.0000000000002,stoploss hit
228,2019-10-10 09:31:00,2019-10-10 15:20:00,BANKNIFTY10OCT1928400CE,161.25,0.1,25,-1,4028.75,expiry over
229,2019-10-10 09:50:00,2019-10-10 15:20:00,BANKNIFTY10OCT1928300CE,141.2,0.15,25,-1,3526.2499999999995,expiry over
230,2019-10-10 11:17:00,2019-10-10 15:20:00,BANKNIFTY10OCT1929200CE,2.7,0.05,25,1,-66.25000000000001,expiry over
231,2019-10-10 11:17:00,2019-10-10 15:20:00,BANKNIFTY10OCT1928200CE,107.15,0.15,25,-1,2675.0,expiry over
232,2019-10-10 13:10:00,2019-10-10 15:20:00,BANKNIFTY10OCT1928800CE,2.6,0.05,25,1,-63.75000000000001,expiry over
233,2019-10-10 13:26:00,2019-10-10 15:20:00,BANKNIFTY10OCT1928100CE,78.25,0.25,25,-1,1950.0,expiry over
234,2019-10-10 14:32:00,2019-10-10 15:20:00,BANKNIFTY10OCT1928300CE,3.45,0.15,25,1,-82.5,expiry over
235,2019-10-10 14:32:00,2019-10-10 15:20:00,BANKNIFTY10OCT1928000CE,45.85,6.7,25,-1,978.75,expiry over
236,2019-10-10 14:34:00,2019-10-10 15:20:00,BANKNIFTY10OCT1927900PE,27.3,0.1,25,-1,680.0,expiry over
237,2019-10-17 09:34:00,2019-10-17 13:00:00,BANKNIFTY17OCT1928600CE,113.95,245.95,25,-1,-3300.0,stoploss hit
238,2019-10-17 11:59:00,2019-10-17 15:20:00,BANKNIFTY17OCT1928600PE,75.0,0.2,25,-1,1870.0,expiry over
239,2019-10-17 12:45:00,2019-10-17 15:20:00,BANKNIFTY17OCT1928700PE,57.2,0.2,25,-1,1425.0,expiry over
240,2019-10-17 13:14:00,2019-10-17 15:20:00,BANKNIFTY17OCT1928400PE,3.85,0.1,25,1,-93.75,expiry over
241,2019-10-17 13:14:00,2019-10-17 15:20:00,BANKNIFTY17OCT1928800PE,51.75,0.15,25,-1,1290.0,expiry over
242,2019-10-17 13:38:00,2019-10-17 15:20:00,BANKNIFTY17OCT1928500PE,3.3,0.15,25,1,-78.75,expiry over
243,2019-10-17 13:38:00,2019-10-17 15:20:00,BANKNIFTY17OCT1928900PE,42.2,0.2,25,-1,1050.0,expiry over
244,2019-10-24 10:31:00,2019-10-24 12:16:00,BANKNIFTY24OCT1929400CE,111.0,204.0,25,-1,-2325.0,stoploss hit
245,2019-10-24 13:24:00,2019-10-24 13:46:00,BANKNIFTY24OCT1929100PE,59.55,111.7,25,-1,-1303.7500000000002,stoploss hit
