,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType,IndexSL
476,2021-02-19 14:00:00,2021-02-23 11:41:00,BANKNIFTY25FEB2136100CE,485.95,89.05,25,-1,9922.5, expiry timeup,36152.05
477,2021-02-23 12:10:00,2021-02-24 09:51:00,BANKNIFTY25FEB2135200CE,370.0,439.0,25,-1,-1725.0,index sl call,35440.8
478,2021-02-24 09:55:00,2021-02-25 09:16:00,BANKNIFTY25FEB2135500PE,328.75,12.3,25,-1,7911.25, expiry timeup,35342.25
479,2021-02-22 11:30:00,2021-02-25 09:16:00,BANKNIFTY25FEB2135500CE,454.7,1487.3,25,-1,-25814.999999999996, StopLoss Hit,35641.4
480,2021-02-26 12:35:00,2021-02-26 13:51:00,BANKNIFTY04MAR2134800CE,755.8,843.0,25,-1,-2180.000000000001,index sl call,34999.15
481,2021-02-25 14:45:00,2021-02-26 15:15:00,BANKNIFTY04MAR2136700CE,609.1,120.85,25,-1,12206.25, expiry timeup,36839.3
482,2021-03-01 11:00:00,2021-03-01 11:46:00,BANKNIFTY04MAR2135500PE,569.5,730.9,25,-1,-4034.9999999999995,index sl put,35213.8
483,2021-03-01 12:25:00,2021-03-01 13:30:00,BANKNIFTY04MAR2135100CE,532.8,691.35,25,-1,-3963.750000000002,index sl call,35317.7
484,2021-03-02 09:55:00,2021-03-02 10:51:00,BANKNIFTY04MAR2135600PE,481.2,612.25,25,-1,-3276.2500000000005,index sl put,35354.15
485,2021-03-02 12:05:00,2021-03-02 15:11:00,BANKNIFTY04MAR2135200CE,397.45,535.45,25,-1,-3450.0000000000014, StopLoss Hit,35287.75
486,2021-03-03 11:40:00,2021-03-04 09:16:00,BANKNIFTY04MAR2136000PE,289.95,429.75,25,-1,-3495.0000000000005, StopLoss Hit,35963.0
487,2021-03-03 14:25:00,2021-03-04 09:16:00,BANKNIFTY04MAR2136300PE,235.4,533.95,25,-1,-7463.750000000002, StopLoss Hit,36263.3
488,2021-03-03 12:50:00,2021-03-04 09:23:00,BANKNIFTY04MAR2136200PE,318.4,498.2,25,-1,-4495.0, StopLoss Hit,35557.05
489,2021-03-04 09:35:00,2021-03-04 11:41:00,BANKNIFTY10MAR2135700CE,610.65,768.2,25,-1,-3938.750000000002,index sl call,35951.4
490,2021-03-04 13:35:00,2021-03-04 14:46:00,BANKNIFTY10MAR2136200PE,613.3,752.15,25,-1,-3471.2500000000005,index sl put,35940.9
491,2021-03-05 14:10:00,2021-03-05 15:28:00,BANKNIFTY10MAR2134900CE,659.2,848.85,25,-1,-4741.249999999999,index sl call,35296.6
492,2021-03-05 11:45:00,2021-03-08 09:25:00,BANKNIFTY10MAR2135300CE,690.0,697.65,25,-1,-191.24999999999943,index sl call,35590.6
493,2021-03-08 09:55:00,2021-03-08 10:38:00,BANKNIFTY10MAR2135800PE,501.05,658.25,25,-1,-3929.9999999999995, StopLoss Hit,35604.1
494,2021-03-08 14:45:00,2021-03-08 15:03:00,BANKNIFTY10MAR2135500PE,415.95,560.0,25,-1,-3601.2500000000005, StopLoss Hit,35403.0
495,2021-03-08 10:55:00,2021-03-09 14:47:00,BANKNIFTY10MAR2135300PE,467.5,93.2,25,-1,9357.5, expiry timeup,35094.7
496,2021-03-09 13:45:00,2021-03-09 15:00:00,BANKNIFTY10MAR2135600CE,317.95,418.0,25,-1,-2501.2500000000005, StopLoss Hit,35783.95
497,2021-03-08 15:15:00,2021-03-09 15:09:00,BANKNIFTY10MAR2135400PE,460.0,86.4,25,-1,9340.0, expiry timeup,35136.75
498,2021-03-09 09:55:00,2021-03-10 09:16:00,BANKNIFTY10MAR2135700PE,337.0,48.5,25,-1,7212.5, expiry timeup,35601.85
499,2021-03-10 09:50:00,2021-03-10 12:03:00,BANKNIFTY18MAR2136000PE,564.0,657.5,25,-1,-2337.5,index sl put,35889.55
500,2021-03-10 12:50:00,2021-03-10 13:16:00,BANKNIFTY18MAR2135900CE,584.0,660.0,25,-1,-1900.0,index sl call,35980.25
501,2021-03-12 10:00:00,2021-03-12 12:15:00,BANKNIFTY18MAR2136400PE,567.2,684.75,25,-1,-2938.749999999999,index sl put,36163.1
502,2021-03-12 12:45:00,2021-03-15 10:55:00,BANKNIFTY18MAR2136000CE,586.75,115.15,25,-1,11790.0, expiry timeup,36109.5
503,2021-03-12 13:35:00,2021-03-15 11:19:00,BANKNIFTY18MAR2135800CE,623.95,124.1,25,-1,12496.25, expiry timeup,36046.1
504,2021-03-15 11:00:00,2021-03-15 14:53:00,BANKNIFTY18MAR2134600CE,535.3,715.0,25,-1,-4492.500000000001, StopLoss Hit,34935.2
505,2021-03-16 10:35:00,2021-03-16 11:31:00,BANKNIFTY18MAR2135300PE,393.95,494.7,25,-1,-2518.75,index sl put,35081.9
506,2021-03-16 10:00:00,2021-03-16 13:14:00,BANKNIFTY18MAR2135100PE,399.75,538.25,25,-1,-3462.5, StopLoss Hit,34948.35
507,2021-03-15 14:55:00,2021-03-17 09:17:00,BANKNIFTY18MAR2135000PE,436.75,529.0,25,-1,-2306.25,index sl put,34748.95
508,2021-03-12 13:45:00,2021-03-17 09:16:00,BANKNIFTY18MAR2135500CE,670.0,108.0,25,-1,14050.0,index sl put,35863.8
509,2021-03-17 09:45:00,2021-03-17 11:24:00,BANKNIFTY18MAR2134700CE,372.05,494.25,25,-1,-3054.9999999999995, StopLoss Hit,34811.6
510,2021-03-16 13:35:00,2021-03-17 11:31:00,BANKNIFTY18MAR2134800CE,419.8,491.5,25,-1,-1792.4999999999998,index sl call,35014.0
511,2021-03-17 15:10:00,2021-03-18 09:16:00,BANKNIFTY18MAR2134200CE,355.55,534.85,25,-1,-4482.5, StopLoss Hit,34531.45
512,2021-03-17 14:20:00,2021-03-18 09:21:00,BANKNIFTY18MAR2134500CE,304.75,325.1,25,-1,-508.75000000000057,index sl call,34682.0
513,2021-03-17 13:05:00,2021-03-18 09:53:00,BANKNIFTY18MAR2134600CE,345.0,242.55,25,-1,2561.2499999999995,index sl call,34749.3
514,2021-03-18 10:50:00,2021-03-18 13:07:00,BANKNIFTY25MAR2134600PE,580.85,732.6,25,-1,-3793.75,index sl put,34328.8
515,2021-03-19 09:30:00,2021-03-19 10:07:00,BANKNIFTY25MAR2133400CE,723.95,910.85,25,-1,-4672.499999999999,index sl call,33778.2
516,2021-03-18 15:05:00,2021-03-19 11:01:00,BANKNIFTY25MAR2133700CE,675.0,805.95,25,-1,-3273.750000000001,index sl call,33953.75
517,2021-03-19 12:45:00,2021-03-19 13:39:00,BANKNIFTY25MAR2133600CE,668.6,819.5,25,-1,-3772.4999999999995,index sl call,33866.45
518,2021-03-18 13:35:00,2021-03-19 14:46:00,BANKNIFTY25MAR2133900CE,670.0,783.6,25,-1,-2840.0000000000005,index sl call,34160.35
519,2021-03-19 15:00:00,2021-03-19 15:19:00,BANKNIFTY25MAR2134400PE,610.65,799.95,25,-1,-4732.500000000002, StopLoss Hit,34073.05
520,2021-03-22 12:45:00,2021-03-23 09:21:00,BANKNIFTY25MAR2133500CE,560.6,692.35,25,-1,-3293.75,index sl call,33863.45
521,2021-03-23 14:45:00,2021-03-24 09:16:00,BANKNIFTY25MAR2134300PE,357.2,571.95,25,-1,-5368.750000000002, StopLoss Hit,34159.35
522,2021-03-23 13:55:00,2021-03-24 09:56:00,BANKNIFTY25MAR2134000PE,391.1,436.0,25,-1,-1122.4999999999995,index sl put,33804.5
523,2021-03-23 09:55:00,2021-03-24 10:20:00,BANKNIFTY25MAR2133900PE,486.45,476.5,25,-1,248.74999999999972,index sl put,33622.0
